,0
0,0.8606848361654643
1,0.03402209124354339
2,0.6917010586682443
3,0.28157302874709267
4,0.4090515239217284
5,0.42443952510036687
6,0.07942045873212904
7,0.03297476804367734
8,0.10555774986695154
9,0.1547456382886126
10,-0.25609108042922213
11,-0.1944064553047099
12,-0.3331764357729004
13,-0.14103497496106904
14,-0.4264126979429236
15,-0.1754229139848342
16,0.18740249656602026
17,0.530119985392531
18,0.26316167380147976
19,0.8020351852403119
20,0.5956172216246777
21,0.30883520938772563
22,-1.60358113712954
23,0.195245298628575
